protein_group_id,pocket_id,pocket_pdb,representative_protein_pdb,pocket_residue_count,merged_source_count,merged_source_ids_file,dataset_label
protein_group_000007,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000007/protein_group_000007_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000007/protein_group_000007_protein.pdb,114,141,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000007/protein_group_000007_pocket-1_source_ids.txt,template
protein_group_000008,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000008/protein_group_000008_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000008/protein_group_000008_protein.pdb,151,116,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000008/protein_group_000008_pocket-1_source_ids.txt,template
protein_group_000008,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000008/protein_group_000008_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000008/protein_group_000008_protein.pdb,79,4,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000008/protein_group_000008_pocket-2_source_ids.txt,template
protein_group_000008,pocket-3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000008/protein_group_000008_pocket-3.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000008/protein_group_000008_protein.pdb,44,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000008/protein_group_000008_pocket-3_source_ids.txt,template
protein_group_000008,pocket-4,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000008/protein_group_000008_pocket-4.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000008/protein_group_000008_protein.pdb,40,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000008/protein_group_000008_pocket-4_source_ids.txt,template
protein_group_000009,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_protein.pdb,155,81,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_pocket-1_source_ids.txt,template
protein_group_000009,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_protein.pdb,92,23,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_pocket-2_source_ids.txt,template
protein_group_000009,pocket-3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_pocket-3.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_protein.pdb,76,2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_pocket-3_source_ids.txt,template
protein_group_000009,pocket-4,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_pocket-4.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_protein.pdb,67,4,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_pocket-4_source_ids.txt,template
protein_group_000009,pocket-5,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_pocket-5.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_protein.pdb,64,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_pocket-5_source_ids.txt,template
protein_group_000009,pocket-6,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_pocket-6.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_protein.pdb,47,8,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_pocket-6_source_ids.txt,template
protein_group_000009,pocket-7,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_pocket-7.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_protein.pdb,39,2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_pocket-7_source_ids.txt,template
protein_group_000010,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000010/protein_group_000010_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000010/protein_group_000010_protein.pdb,109,74,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000010/protein_group_000010_pocket-1_source_ids.txt,template
